task,model,eval_type,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std
3class_balanced_fs_wrapper,SVM,cv,0.5785011464894203,0.01710449439600803,0.5519686158136785,0.022538141663189893,0.579826439411357,0.017959848501035314,0.5497109213908503,0.020663555889429284,0.575634961885297,0.0193795466123038
3class_balanced_fs_wrapper,MLP,cv,0.583110324209793,0.017376665141918747,0.5176767363062214,0.008551532187498182,0.561738848328514,0.009522779462878404,0.5414812737473953,0.012451809288753913,0.5174605618845058,0.01617754212902818
3class_balanced_fs_wrapper,Stacking,cv,0.5724233013090296,0.023366028742598098,0.5364923914027216,0.027739295035527328,0.5718708021303887,0.022811073228286023,0.5322177831456726,0.02643579509303948,0.5511274867789123,0.028621158348053153
3class_balanced_fs_embedded,LogisticRegression,cv,0.5701274199634285,0.018270075940569102,0.5402355733819564,0.021673473709821034,0.5714785613923357,0.01804547164309693,0.5363259231737282,0.021058158603901984,0.555928068835432,0.021612969157262206
3class_balanced_fs_embedded,RandomForest,cv,0.5678373436275506,0.01431419232900837,0.5170483352390577,0.016899681756077523,0.5584251406632085,0.013859929331314563,0.52731263095379,0.015589145749654584,0.5132248114848749,0.01735103430013077
3class_balanced_fs_embedded,GradientBoosting,cv,0.5731866600876556,0.016762270901945046,0.5187798988232983,0.02021021230431064,0.5607175509041794,0.01813144555562297,0.5374998621749849,0.021495887203129123,0.5126690065439957,0.01990533185964225
3class_balanced_fs_embedded,XGBoost,cv,0.560996139668534,0.014676078929792991,0.5104689197178368,0.015572765808658956,0.5517294094151399,0.014994078229694877,0.5249830952234237,0.01245520427544313,0.5051846162597908,0.01727549808854585
3class_balanced_fs_embedded,SVM,cv,0.5685977999013149,0.019195966444390578,0.5404095377193767,0.018705846114336122,0.5712407407191922,0.017868803793241603,0.5364665963494462,0.017142910343606096,0.5533476354247481,0.0142841558262762
3class_balanced_fs_embedded,MLP,cv,0.5808086378544683,0.01009899612053085,0.5025820752531299,0.00942739125014316,0.5454766990350224,0.004706225025584262,0.5316015995838239,0.010566290353012354,0.5120393024753487,0.010504104365752779
3class_balanced_fs_embedded,Stacking,cv,0.576997648971062,0.027325691484028747,0.5427891857650675,0.03173115404470851,0.5753785681517598,0.02508615074690407,0.538909837443234,0.031238007190675227,0.5587547179982507,0.03575203439942966
3class_strict_baseline,LogisticRegression,cv,0.5167996981394943,0.03815204755426005,0.5198830468661099,0.03485170616580927,0.5094441502453046,0.04233956593450948,0.5314682774333103,0.02981563208736314,0.5881502521620773,0.024708851772979188
3class_strict_baseline,RandomForest,cv,0.6082373087974922,0.02583461255987143,0.5821130243698475,0.02188990696176087,0.609606124573683,0.023752523666134936,0.5806366201589583,0.026493534932542563,0.5875416714604611,0.01690086931774823
3class_strict_baseline,GradientBoosting,cv,0.635695004789133,0.024419505657977077,0.5545090704426714,0.03662927048236576,0.6133318813464262,0.028936820571778078,0.6254599007503724,0.03744540221559747,0.5323708379181815,0.03327751328085577
3class_strict_baseline,XGBoost,cv,0.6006182335355412,0.016214804897658572,0.5384152933147565,0.02213167926679015,0.5908440941290097,0.018008549836800666,0.5611523845131848,0.020366148104252295,0.5273642329811359,0.024132049087552836
3class_strict_baseline,SVM,cv,0.5182973906481294,0.033919671258195096,0.5211577587859624,0.03065906784731804,0.5061856401508674,0.04294989517556208,0.5393987428267809,0.01442768951078856,0.5969502639748706,0.014776133992457512
3class_strict_baseline,MLP,cv,0.6196847879720199,0.025269234663996006,0.5489220380363053,0.0237584333366334,0.6017367964836466,0.023281434983144854,0.6052607150500826,0.04267588040070144,0.5281779838296663,0.020071119780316206
3class_strict_baseline,Stacking,cv,0.5587002583229326,0.041486066016233135,0.5604494246171007,0.040472576962178104,0.5563714625274004,0.044185076950645844,0.5620430174516071,0.03519231876558671,0.6190247379535266,0.034101382235288503
3class_strict_fs_filter,LogisticRegression,cv,0.5068731315124954,0.02462621282724667,0.5116028918923432,0.023307614920794348,0.49850778946023777,0.027850648502791585,0.5259023794388007,0.017818493100750475,0.5820879534730504,0.019220514183263596
